"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"29000","Missouri state total","4","CA6N","517","335","          Electrical equipment, appliance, and component manufacturing",842411,789202,789793,801348,821542,846352,872842,801926,711782,699538,770410,797095,805345,794960,805604
"29000","Missouri state total","4","CA6N","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",2408281,2427133,2545864,2495771,2493290,2406359,2288064,1891965,1448443,"(D)","(D)","(D)","(D)","(D)","(D)"
"29000","Missouri state total","4","CA6N","519","3364-3369","          Other transportation equipment manufacturing",1263085,1380795,1436277,1841304,1850957,1990454,1872851,1909491,1904213,"(D)","(D)","(D)","(D)","(D)","(D)"
"29000","Missouri state total","4","CA6N","521","337","          Furniture and related product manufacturing",534819,532883,523914,551312,558041,555710,521604,480248,378951,370023,272773,281846,298021,307571,333619
"29000","Missouri state total","4","CA6N","522","339","          Miscellaneous manufacturing",520380,551030,568698,593065,603663,575029,587515,584449,627965,532739,527745,480633,486847,534609,516344
"29000","Missouri state total","4","CA6N","530","311-316,322-326","        Nondurable goods manufacturing",6185903,6107975,6030308,6126778,6199496,6417989,6619628,7488520,6496464,6409917,6330822,6807693,6767048,6912499,7171445
"29000","Missouri state total","4","CA6N","531","311","          Food manufacturing",1700476,1639734,1720830,1707718,1706148,1825560,1899597,1982335,2038440,2108505,1996315,2275361,2151501,2146094,2320922
"29000","Missouri state total","4","CA6N","532","312","          Beverage and tobacco product manufacturing",434500,501405,475922,489486,492966,481942,556371,1242858,543584,437457,453345,500107,514360,592797,579552
"29000","Missouri state total","4","CA6N","533","313","          Textile mills",21407,20114,19439,23710,23307,26196,30425,34470,31473,29869,26330,22556,23281,26228,23720
"29000","Missouri state total","4","CA6N","534","314","          Textile product mills",87940,89985,74095,78675,86102,94056,104882,108518,92131,83516,83912,77235,70396,70546,75211
"29000","Missouri state total","4","CA6N","535","315","          Apparel manufacturing",133090,119932,118628,115026,104258,99503,97809,112706,74550,76249,69031,73224,75359,80497,74046
"29000","Missouri state total","4","CA6N","536","316","          Leather and allied product manufacturing",114932,100795,129279,125579,125179,137561,154510,123170,126712,40167,45186,50949,54842,61816,61342
"29000","Missouri state total","4","CA6N","537","322","          Paper manufacturing",554684,531624,522767,530194,511471,506482,512776,524226,498463,498133,492542,475094,468415,437437,482017
"29000","Missouri state total","4","CA6N","538","323","          Printing and related support activities",847756,806484,778530,785684,804384,820624,831300,829971,697800,671201,660267,670694,689775,670214,648037
"29000","Missouri state total","4","CA6N","539","324","          Petroleum and coal products manufacturing",113702,98950,108785,107351,118789,121756,108320,115092,131901,124127,123188,126551,132637,139391,143602
"29000","Missouri state total","4","CA6N","541","325","          Chemical manufacturing",1392896,1369292,1251321,1301640,1340297,1400331,1420377,1511949,1486670,1518157,1562607,1696157,1721500,1787596,1795449
"29000","Missouri state total","4","CA6N","542","326","          Plastics and rubber products manufacturing",784520,829660,830712,861715,886595,903978,903261,903225,774740,822536,818099,839765,864982,899883,967547
"29000","Missouri state total","4","CA6N","600","42","      Wholesale trade",6294519,6372739,6498323,6868471,7320009,7710175,8133859,8445743,7981166,8048631,8196152,8536446,8660202,9140740,9379414
"29000","Missouri state total","4","CA6N","700","44-45","      Retail trade",7753260,8118212,8472251,8623888,8930559,9181309,9354624,9465054,9253569,9235485,9317285,9547257,9723841,9903670,10429193
"29000","Missouri state total","4","CA6N","701","441","        Motor vehicle and parts dealers",1658891,1715304,1774889,1767684,1806655,1831980,1842856,1762236,1599884,1673129,1740442,1837572,1920555,1993009,2111663
"29000","Missouri state total","4","CA6N","702","442","        Furniture and home furnishings stores",293121,308218,330085,330079,340512,336035,331351,309543,255904,255009,273500,283749,295561,304816,308740
"29000","Missouri state total","4","CA6N","703","443","        Electronics and appliance stores",330207,306920,311511,318463,325838,314977,306372,367164,346843,329388,323887,298657,302152,294463,371227
"29000","Missouri state total","4","CA6N","704","444","        Building material and garden equipment and supplies dealers",787562,820510,862266,906209,936138,988651,1002250,972079,910737,901154,898242,909929,944152,974683,1020661
"29000","Missouri state total","4","CA6N","705","445","        Food and beverage stores",991911,1039950,1041756,1041296,1038709,1017626,1038994,1132048,1186086,1273047,1268722,1304252,1357803,1342111,1364570
"29000","Missouri state total","4","CA6N","706","446","        Health and personal care stores",479741,523591,571585,608962,650578,704835,731365,759082,766075,780274,784880,801028,819293,831635,863828
"29000","Missouri state total","4","CA6N","707","447","        Gasoline stations",483169,494277,510410,510862,520554,532609,551087,564971,555396,564438,557083,586126,604161,627370,663918
"29000","Missouri state total","4","CA6N","708","448","        Clothing and clothing accessories stores",395553,426613,454757,471219,482604,505278,513845,499257,463461,454380,448785,455436,474071,469538,485408
"29000","Missouri state total","4","CA6N","709","451","        Sporting goods, hobby, musical instrument, and book stores",209268,230330,236087,229458,235778,245065,250814,253888,275723,265717,256095,260508,270121,278397,295622
"29000","Missouri state total","4","CA6N","711","452","        General merchandise stores",1389591,1514422,1606695,1657171,1771057,1809913,1853103,1903579,1969620,1838411,1863716,1860373,1771413,1810880,1869206
"29000","Missouri state total","4","CA6N","712","453","        Miscellaneous store retailers",415565,425385,437114,436226,432476,461110,489826,486293,477204,427308,419265,423080,433061,428904,455935
"29000","Missouri state total","4","CA6N","713","454","        Nonstore retailers",318681,312692,335096,346259,389660,433230,442761,454914,446636,473230,482668,526547,531498,547864,618415
"29000","Missouri state total","4","CA6N","800","48-49","      Transportation and warehousing",4631706,4847299,4764592,4695736,4841920,5046659,5267436,5294166,4951545,4828495,4944298,5187759,5466357,5575338,5944462
"29000","Missouri state total","4","CA6N","801","481","        Air transportation",656564,976406,864982,539471,461717,460534,490249,479137,381538,364435,321442,340691,388711,319371,333849
"29000","Missouri state total","4","CA6N","802","482","        Rail transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)",777631,692620,"(D)","(D)",844839,840459,899703,"(D)"
"29000","Missouri state total","4","CA6N","803","483","        Water transportation",19959,21328,17162,34885,41127,56827,62971,69802,81103,55897,41877,42100,44856,45048,53738
"29000","Missouri state total","4","CA6N","804","484","        Truck transportation",1829451,1790152,1816777,1952119,2041476,2152575,2193778,2146192,2017776,1924127,1984892,2080983,2161873,2185211,2323617
"29000","Missouri state total","4","CA6N","805","485","        Transit and ground passenger transportation",188284,194015,188702,209861,205427,215034,222412,237596,238240,233677,245759,254864,258639,262423,278528
"29000","Missouri state total","4","CA6N","806","486","        Pipeline transportation",17528,17261,21089,22134,25633,26242,25952,30096,30328,31356,32702,32603,35338,34222,35590
"29000","Missouri state total","4","CA6N","807","487","        Scenic and sightseeing transportation",7295,8098,8208,7198,6985,8910,8864,9729,9342,9870,10503,9209,7992,8168,12404
"29000","Missouri state total","4","CA6N","808","488","        Support activities for transportation",448494,386416,350225,335010,375816,402337,436430,456918,422074,456031,494674,525085,576135,627168,696359
"29000","Missouri state total","4","CA6N","809","492","        Couriers and messengers","(D)","(D)","(D)","(D)","(D)","(D)","(D)",431351,435265,"(D)","(D)",440016,494183,512921,"(D)"
"29000","Missouri state total","4","CA6N","811","493","        Warehousing and storage",464661,469727,499399,563897,612080,622104,666556,655714,643259,628933,615942,617369,658171,681103,750591
"29000","Missouri state total","4","CA6N","900","51","      Information",4060515,3908385,4033934,4139503,4121108,4313299,4554738,4685672,4938841,4551249,4499068,4707658,4583345,4635637,4650224
"29000","Missouri state total","4","CA6N","901","511","        Publishing industries (except Internet)",1084659,1036966,1086919,1094495,1088304,1107220,1168679,1271617,1224249,883375,854153,835473,778754,778682,731692
"29000","Missouri state total","4","CA6N","902","512","        Motion picture and sound recording industries",92737,94967,94889,100995,98251,103783,110868,106883,114889,97171,91254,95699,99577,97579,119015
"29000","Missouri state total","4","CA6N","903","515","        Broadcasting (except Internet)",291094,295435,306284,315898,313925,314190,370806,369474,409182,402112,375258,384997,404587,387951,391149
"29000","Missouri state total","4","CA6N","904","516","        Internet publishing and broadcasting 4/",16792,17503,17227,19126,16082,15526,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"29000","Missouri state total","4","CA6N","905","517","        Telecommunications",1910771,1805079,1655979,1716780,1631987,1665346,1822852,1816790,1972215,1813147,1758790,1899716,1812546,1859891,1920503
"29000","Missouri state total","4","CA6N","906","518","        Data processing, hosting, and related services",641751,625212,852771,869551,943317,1073832,1021828,1057589,1167663,1298135,1362193,1430084,1422296,1439688,1416729
"29000","Missouri state total","4","CA6N","907","519","        Other information services 4/",22711,33223,19865,22658,29242,33402,59705,63319,50643,57309,57420,61689,65585,71846,71136
"29000","Missouri state total","4","CA6N","1000","52","      Finance and insurance",6560138,6770657,7089999,7265029,7723624,8240940,8537933,8774248,8688934,9306231,9763505,10584157,10639536,10977305,11555698
"29000","Missouri state total","4","CA6N","1001","521","        Monetary Authorities-central bank","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"29000","Missouri state total","4","CA6N","1002","522","        Credit intermediation and related activities",2586080,2819480,3095149,3111042,3190895,3279376,3349521,3296298,3252746,3390362,3520169,3872416,3902210,3827335,4001129
"29000","Missouri state total","4","CA6N","1003","523","        Securities, commodity contracts, and other financial investments and related activities",1276304,1207026,1168347,1202881,1387671,1562596,1689103,1902880,1901943,2141818,2306704,2307067,2382106,2505706,2622877
"29000","Missouri state total","4","CA6N","1004","524","        Insurance carriers and related activities",2571429,2613332,2695224,2812222,3001390,3247748,3339398,3407363,3360124,3591271,3748690,4222686,4148472,4411658,4682303
"29000","Missouri state total","4","CA6N","1005","525","        Funds, trusts, and other financial vehicles","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"29000","Missouri state total","4","CA6N","1100","53","      Real estate and rental and leasing",1367338,1401483,1409935,1474049,1519329,1550429,1620100,1628731,1604830,1588498,1535611,1625130,1626496,1702398,1870616
"29000","Missouri state total","4","CA6N","1101","531","        Real estate",966095,984443,1001123,998098,1051459,1056487,1093049,1112195,1105318,1085962,1041646,1116974,1129771,1184338,1333801
"29000","Missouri state total","4","CA6N","1102","532","        Rental and leasing services",378389,397056,390485,456375,445844,463757,501687,490768,472611,476026,467275,481351,472113,493236,511558
"29000","Missouri state total","4","CA6N","1103","533","        Lessors of nonfinancial intangible assets (except copyrighted works)",22854,19984,18327,19576,22026,30185,25364,25768,26901,26510,26690,26805,24612,24824,25257
"29000","Missouri state total","4","CA6N","1200","54","      Professional, scientific, and technical services",7006350,7047311,7268903,7564169,8237283,9040954,9652288,10263476,10011693,9707079,10020726,10891563,11122262,11573062,13047724
"29000","Missouri state total","4","CA6N","1300","55","      Management of companies and enterprises",5788988,5653871,5645801,5871044,6488576,6886167,6937116,7971761,5798615,6618710,6843110,6863267,7459264,7966372,7782280
"29000","Missouri state total","4","CA6N","1400","56","      Administrative and support and waste management and remediation services",3366778,3431863,3534664,3849165,4133179,4393538,4804157,5194523,4935354,5243285,5556210,5647675,5939646,6257677,6501771
"29000","Missouri state total","4","CA6N","1401","561","        Administrative and support services",3134413,3188610,3288977,3586675,3864360,4107835,4504700,4885311,4622451,4915268,5231315,5316771,5612327,5908173,6130858
"29000","Missouri state total","4","CA6N","1402","562","        Waste management and remediation services",232365,243253,245687,262490,268819,285703,299457,309212,312903,328017,324895,330904,327319,349504,370913
"29000","Missouri state total","4","CA6N","1500","61","      Educational services",1607240,1740164,1742874,1837887,1858934,2047372,2157563,2212918,2419586,2476385,2568413,2816008,2889563,3010104,3057062
"29000","Missouri state total","4","CA6N","1600","62","      Health care and social assistance",10958113,11701165,12441257,13264850,13989073,14751946,15539201,16467723,17304448,17935013,18240879,19266210,19947690,19960158,21222781
"29000","Missouri state total","4","CA6N","1601","621","        Ambulatory health care services",4472239,4729224,5006401,5259995,5579890,5901282,6174945,6448373,6721736,6960927,7268938,7538086,7856427,7875147,8323724
"29000","Missouri state total","4","CA6N","1602","622","        Hospitals",4356989,4667598,5038706,5502834,5775632,6073258,6470046,6904356,7275553,7513921,7473974,7905462,8072634,7944812,8529568
"29000","Missouri state total","4","CA6N","1603","623","        Nursing and residential care facilities",1376994,1474832,1516504,1556561,1606542,1717663,1796687,1943627,2038112,2113921,2158214,2231848,2312788,2352393,2421126
"29000","Missouri state total","4","CA6N","1604","624","        Social assistance",751891,829511,879646,945460,1027009,1059743,1097523,1171367,1269047,1346244,1339753,1590814,1705841,1787806,1948363
"29000","Missouri state total","4","CA6N","1700","71","      Arts, entertainment, and recreation",1376703,1529367,1554650,1595943,1618225,1677609,1744043,1793417,1794485,1784992,1809183,1855645,2007233,2027063,2023244
"29000","Missouri state total","4","CA6N","1701","711","        Performing arts, spectator sports, and related industries",582745,664990,674702,669109,667554,774473,799686,799382,835160,833959,883095,901013,1023722,1032114,1093902
"29000","Missouri state total","4","CA6N","1702","712","        Museums, historical sites, and similar institutions",48877,54200,53928,62659,63543,71189,80537,85708,86501,84342,81822,87788,90232,94236,103594
"29000","Missouri state total","4","CA6N","1703","713","        Amusement, gambling, and recreation industries",745081,810177,826020,864175,887128,831947,863820,908327,872824,866691,844266,866844,893279,900713,825748
"29000","Missouri state total","4","CA6N","1800","72","      Accommodation and food services",3353441,3487762,3655237,3852979,4021472,4188847,4429924,4468401,4372975,4444559,4511538,4726380,4883868,5134918,5617785
"29000","Missouri state total","4","CA6N","1801","721","        Accommodation",719416,709241,718298,718371,754697,792070,826799,841335,770674,800305,808975,828144,835751,857581,1000632
"29000","Missouri state total","4","CA6N","1802","722","        Food services and drinking places",2634025,2778521,2936939,3134608,3266775,3396777,3603125,3627066,3602301,3644254,3702563,3898236,4048117,4277337,4617153
"29000","Missouri state total","4","CA6N","1900","81","      Other services (except public administration)",3604087,3745757,3911292,4100256,4167062,4324638,4420642,4587893,4515954,4436600,4497328,4612324,4699716,4860910,5130947
"29000","Missouri state total","4","CA6N","1901","811","        Repair and maintenance",855961,860398,876077,905172,928288,975012,1005856,1005252,956972,939738,964235,996061,1008307,1057954,1131471
"29000","Missouri state total","4","CA6N","1902","812","        Personal and laundry services",760941,755230,771444,798745,813720,830172,845707,839187,804468,799926,815886,824742,837092,846428,910697
"29000","Missouri state total","4","CA6N","1903","813","        Religious, grantmaking, civic, professional, and similar organizations",1815109,1964911,2084830,2210338,2241578,2327801,2366280,2535047,2570145,2535646,2546641,2641311,2699615,2780621,2909171
"29000","Missouri state total","4","CA6N","1904","814","        Private households",172076,165218,178941,186001,183476,191653,202799,208407,184369,161290,170566,150210,154702,175907,179608
"29000","Missouri state total","4","CA6N","2000","...","    Government and government enterprises",19271024,20273477,21474750,22607724,23494993,24613777,25822708,27152929,28292801,28652433,28464545,28413018,28599779,28675103,29316825
"29000","Missouri state total","4","CA6N","2001","...","      Federal, civilian",3538183,3766687,3939623,4121060,4299580,4359862,4490088,4814431,5149506,5438178,5396982,5331912,5248337,5359669,5566826
"29000","Missouri state total","4","CA6N","2002","...","      Military",983548,1161533,1435606,1554990,1676191,1767993,1917356,2128731,2318305,2185296,2160665,2090343,2080301,1910134,1889251
"29000","Missouri state total","4","CA6N","2010","...","      State and local",14749293,15345257,16099521,16931674,17519222,18485922,19415264,20209767,20824990,21028959,20906898,20990763,21271141,21405300,21860748
"29000","Missouri state total","4","CA6N","2011","...","        State government",4307794,4236954,4457534,4708456,4873475,5095209,5326329,5502768,5665734,5625555,5610782,5614321,5795555,5793967,5906701
"29000","Missouri state total","4","CA6N","2012","...","        Local government",10441499,11108303,11641987,12223218,12645747,13390713,14088935,14706999,15159256,15403404,15296116,15376442,15475586,15611333,15954047
"29001","Adair, MO","4","CA6N","1","...","Compensation of employees (thousands of dollars) 1/",341089,345702,352930,361416,397746,404811,408227,411887,418250,413528,400132,416007,431217,430113,446031
"29001","Adair, MO","4","CA6N","5","...","  Wages and salaries",273380,274519,277381,280402,306871,311059,313490,318084,320488,314704,307379,319643,330171,332152,344827
"29001","Adair, MO","4","CA6N","6","...","  Supplements to wages and salaries",67709,71183,75549,81014,90875,93752,94737,93803,97762,98824,92753,96364,101046,97961,101204
"29001","Adair, MO","4","CA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",48386,51660,55674,60998,68199,70664,71412,70380,74145,75828,70252,73146,76902,73974,76440
"29001","Adair, MO","4","CA6N","8","...","    Employer contributions for government social insurance",19323,19523,19875,20016,22676,23088,23325,23423,23617,22996,22501,23218,24144,23987,24764
"29001","Adair, MO","4","CA6N","9","...","Average compensation per job (dollars) 3/",28862,29804,30412,31479,32790,32890,33892,35033,35831,36634,36310,37829,38327,38995,40611
"29001","Adair, MO","4","CA6N","81","111-112","  Farm compensation",706,659,720,629,710,612,919,926,1061,1076,1154,1744,1196,1546,1426
"29001","Adair, MO","4","CA6N","82","...","  Nonfarm compensation",340383,345043,352210,360787,397036,404199,407308,410961,417189,412452,398978,414263,430021,428567,444605
"29001","Adair, MO","4","CA6N","90","113-814","    Private nonfarm compensation",239937,242859,249325,252997,286716,290698,288398,285296,289142,285222,274312,288244,303055,301185,314004
"29001","Adair, MO","4","CA6N","100","113-115","      Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"29001","Adair, MO","4","CA6N","101","113","        Forestry and logging",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29001","Adair, MO","4","CA6N","102","114","        Fishing, hunting and trapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29001","Adair, MO","4","CA6N","103","115","        Support activities for agriculture and forestry","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"29001","Adair, MO","4","CA6N","200","21","      Mining, quarrying, and oil and gas extraction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29001","Adair, MO","4","CA6N","201","211","        Oil and gas extraction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29001","Adair, MO","4","CA6N","202","212","        Mining (except oil and gas)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29001","Adair, MO","4","CA6N","203","213","        Support activities for mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29001","Adair, MO","4","CA6N","300","22","      Utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"29001","Adair, MO","4","CA6N","400","23","      Construction",13290,11658,"(D)","(D)","(D)","(D)","(D)","(D)",15415,"(D)",13785,13938,14391,13885,12443
"29001","Adair, MO","4","CA6N","401","236","        Construction of buildings",3058,2658,2692,2778,2849,3168,3045,3033,4243,4361,3390,3235,3098,3463,3271
"29001","Adair, MO","4","CA6N","402","237","        Heavy and civil engineering construction",4047,3947,"(D)","(D)","(D)","(D)","(D)","(D)",3771,"(D)",4483,4788,5069,4257,3753
"29001","Adair, MO","4","CA6N","403","238","        Specialty trade contractors",6185,5053,4879,4928,5365,6437,6759,7310,7401,7205,5912,5915,6224,6165,5419
"29001","Adair, MO","4","CA6N","500","31-33","      Manufacturing",51168,49927,49051,43229,50747,47105,42801,38485,34350,33897,31540,35559,34548,36660,37471
"29001","Adair, MO","4","CA6N","510","321,327-339","        Durable goods manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",11280,11490,11602
"29001","Adair, MO","4","CA6N","511","321","          Wood product manufacturing",0,0,0,0,0,0,0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"29001","Adair, MO","4","CA6N","512","327","          Nonmetallic mineral product manufacturing","(D)","(D)",650,673,830,813,665,629,710,840,923,"(D)","(D)",560,"(D)"
"29001","Adair, MO","4","CA6N","513","331","          Primary metal manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29001","Adair, MO","4","CA6N","514","332","          Fabricated metal product manufacturing",0,0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"29001","Adair, MO","4","CA6N","515","333","          Machinery manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29001","Adair, MO","4","CA6N","516","334","          Computer and electronic product manufacturing",0,0,0,0,0,0,0,0,"(D)","(D)","(D)","(D)",0,0,0
"29001","Adair, MO","4","CA6N","517","335","          Electrical equipment, appliance, and component manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29001","Adair, MO","4","CA6N","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"29001","Adair, MO","4","CA6N","519","3364-3369","          Other transportation equipment manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29001","Adair, MO","4","CA6N","521","337","          Furniture and related product manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29001","Adair, MO","4","CA6N","522","339","          Miscellaneous manufacturing","(D)","(D)",0,0,0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"29001","Adair, MO","4","CA6N","530","311-316,322-326","        Nondurable goods manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",23268,25170,25869
"29001","Adair, MO","4","CA6N","531","311","          Food manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"29001","Adair, MO","4","CA6N","532","312","          Beverage and tobacco product manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",0,0,0,0,0,0,0
"29001","Adair, MO","4","CA6N","533","313","          Textile mills",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29001","Adair, MO","4","CA6N","534","314","          Textile product mills",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29001","Adair, MO","4","CA6N","535","315","          Apparel manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29001","Adair, MO","4","CA6N","536","316","          Leather and allied product manufacturing","(D)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29001","Adair, MO","4","CA6N","537","322","          Paper manufacturing",0,0,0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
